Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
61,4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi,Mepco Engineering College Post,Virudhunagar District-626005.",ELECTRONICS AND COMMUNICATION ENGINEERING,183.0,176.5,177.0,174.0,138.5,128.0,—
61,4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi,Mepco Engineering College Post,Virudhunagar District-626005.",ELECTRICAL AND ELECTRONICS ENGINEERING,174.0,168.5,173.5,157.5,128.5,—,107.0
61,4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi,Mepco Engineering College Post,Virudhunagar District-626005.",INFORMATION TECHNOLOGY,181.0,175.5,176.5,170.0,130.0,165.5*,—
61,4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi,Mepco Engineering College Post,Virudhunagar District-626005.",MECHANICAL ENGINEERING,166.5,157.5,159.0,142.5,114.0,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",Artificial Intelligence and Data Science,142.0*,—,—,—,—,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",CIVIL ENGINEERING,123.5*,—,—,—,—,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",COMPUTER SCIENCE AND ENGINEERING,109.0*,—,—,—,—,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",ELECTRONICS AND COMMUNICATION ENGINEERING,88.0*,—,—,—,—,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",ELECTRICAL AND ELECTRONICS ENGINEERING,88.5*,—,—,—,—,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",MECHANICAL ENGINEERING,86.5*,—,—,—,—,—,—
61,4961,"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.",Computer Science and Engineering (Cyber Security),127.0*,—,—,—,—,—,—
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",Artificial Intelligence and Data Science,183.5,179.5,182.0,175.5,146.5,150.5,—
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",CIVIL ENGINEERING,169.0,152.5,158.5,145.5,115.0*,—,—
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",COMPUTER SCIENCE AND ENGINEERING,188.0,181.5,183.5,180.5,156.5,162.5*,—
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",ELECTRONICS AND COMMUNICATION ENGINEERING,185.0,179.0,184.5,173.0,144.5,95.0,127.0
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",ELECTRICAL AND ELECTRONICS ENGINEERING,178.5,175.5,175.5,168.0,141.0,—,—
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",INFORMATION TECHNOLOGY,184.0,180.0,183.0,174.5,149.5,144.0,—
61,4962,"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",MECHANICAL ENGINEERING,172.0,163.0,—,147.0,104.5,93.0,—
61,4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,Artificial Intelligence and Data Science,135.5,120.0,99.5,113.0,120.5,—,—
61,4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,AERONAUTICAL ENGINEERING,104.0,87.5*,—,95.0*,82.0*,92.5*,—
61,4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),124.0,114.0,104.5,84.5,108.0,—,—
61,4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,BIO MEDICAL ENGINEERING,101.0*,—,—,—,—,—,—
61,4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,CIVIL ENGINEERING,95.0*,—,—,—,—,—,—
61,4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,COMPUTER SCIENCE AND ENGINEERING,145.5,115.5,111.5,101.0,114.0,105.5,—
