Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),152.0,132.0,133.0,132.5,103.0*,—,—
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",BIO MEDICAL ENGINEERING,147.5,128.0*,—,127.5,108.5,107.0,—
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",BIO TECHNOLOGY,144.0,95.0*,—,116.5,112.0*,112.0,—
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",CIVIL ENGINEERING,121.5,93.5*,—,110.0,90.5*,105.0,95.5
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",CHEMICAL ENGINEERING,149.0,109.0,—,99.5,—,86.5,92.0
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",Computer Science and Engineering (Internet of Things),140.5,116.5,—,127.5,104.5*,116.5*,—
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",COMPUTER SCIENCE AND ENGINEERING,155.5,135.5,109.5,131.0,107.0*,108.5*,117.5
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",Cyber Security,147.0,122.5,102.0*,130.5,105.0*,—,101.5
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",ELECTRONICS AND COMMUNICATION ENGINEERING,150.5,137.0,135.0*,133.5,97.5*,95.5*,137.0
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",ELECTRICAL AND ELECTRONICS ENGINEERING,137.0,111.5,114.5,121.5,96.5*,120.5,—
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",FOOD TECHNOLOGY,119.5,88.5*,117.5,106.0,92.0*,107.5,115.5
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",INFORMATION TECHNOLOGY,145.5,115.0,102.5*,126.5,88.0*,112.0,110.0
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",MECHANICAL ENGINEERING,129.0,93.5*,115.5*,116.0,91.5*,—,—
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",Mechatronics Engineering,130.0,100.0,102.5*,118.5,100.0*,—,103.5
31,2611,"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.",PHARMACEUTICAL TECHNOLOGY,114.5,102.0*,—,102.5,—,85.0,—
