Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BIO MEDICAL ENGINEERING (SS),195.5,193.0,190.0,193.0,189.5,179.0,185.5
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING,195.5,193.5,195.0,194.5,193.0,182.5,182.5
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.0,199.5,199.0,196.5,191.0,196.0
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING,200.0,200.0,199.5,200.0,198.5,198.7,197.0
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199.5,198.5,199.0,197.5,192.5,—
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRICAL AND ELECTRONICS ENGINEERING,198.0,197.0,196.0,197.5,193.5,188.5,197.0
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,Electronics Engineering (VLSI Design and Technology) (SS),197.5,197.0,196.5,197.0,192.5,186.0,189.5
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199.0,198.5,—,198.5,195.5,188.5,—
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GEO INFORMATICS,194.0,189.5,191.5,188.5,180.5,181.5,186.0
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL ENGINEERING,192.0,189.0,182.0,187.0,182.5,173.4,175.5
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INFORMATION TECHNOLOGY (SS),199.0,198.0,198.0,198.5,195.0,185.5,191.5
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MATERIAL SCIENCE AND ENGINEERING (SS),192.5,189.5,190.5,187.0,180.5,173.5,—
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING,196.5,195.0,194.5,194.8,189.0,182.5,195.5
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MINING ENGINEERING,193.5,188.0,185.5,190.5,182.0,172.5,—
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MANUFACTURING ENGINEERING,189.5,187.0,184.0,184.5,181.5,176.5,181.0
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,PRINTING & PACKING TECHNOLOGY,187.0,182.0,182.5,180.0,172.0,156.0,—
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING (TAMIL MEDIUM),192.5,184.0,185.0,186.0,185.5,182.0,—
1,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING (TAMIL MEDIUM),188.5,184.5,184.0,183.0,175.5,174.0,—
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,APPAREL TECHNOLOGY (SS),176.5,170.5,175.5,167.0,162.0,144.5,—
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CHEMICAL ENGINEERING,195.0,191.0,193.5,192.5,188.0,177.5,169.0
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CHEMICAL ENGINEERING (SS),192.0,190.0,185.5,188.0,183.0,163.0,168.0
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CERAMIC TECHNOLOGY (SS),179.0,172.5,177.0,172.5,162.5,121.5,155.5
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,FOOD TECHNOLOGY (SS),191.0,186.5,189.0,184.0,181.0,167.5,—
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL BIO TECHNOLOGY,193.5,188.7,182.0,184.0,182.5,—,—
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL BIO TECHNOLOGY (SS),188.5,187.5,181.5,183.0,179.0,164.5,—
1,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,LEATHER TECHNOLOGY,178.5,170.0,175.5,172.5,165.5,141.5,163.5
