Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
11,1203,"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METROPOLITAN AREA), SRIPERUMBUDUR TALUK, CHENNAI, KANCHIPURAM - 602105.",Artificial Intelligence and Data Science,145.0,107.5*,117.5,114.5*,106.0*,—,—
11,1203,"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METROPOLITAN AREA), SRIPERUMBUDUR TALUK, CHENNAI, KANCHIPURAM - 602105.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),125.0,108.0*,99.0*,108.5*,112.0*,—,—
11,1203,"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METROPOLITAN AREA), SRIPERUMBUDUR TALUK, CHENNAI, KANCHIPURAM - 602105.",COMPUTER SCIENCE AND BUSSINESS SYSTEM,106.5*,—,—,—,—,—,—
11,1203,"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METROPOLITAN AREA), SRIPERUMBUDUR TALUK, CHENNAI, KANCHIPURAM - 602105.",COMPUTER SCIENCE AND ENGINEERING,156.0,119.5,106.0,101.5*,97.5*,109.5*,—
11,1203,"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METROPOLITAN AREA), SRIPERUMBUDUR TALUK, CHENNAI, KANCHIPURAM - 602105.",INFORMATION TECHNOLOGY,127.0,101.5*,—,97.0*,113.0*,126.5,—
11,1203,"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METROPOLITAN AREA), SRIPERUMBUDUR TALUK, CHENNAI, KANCHIPURAM - 602105.",Computer Science and Engineering (Cyber Security),119.0,85.0*,106.0*,—,90.5*,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",Artificial Intelligence and Data Science,143.5,124.5,136.0,128.0,113.5,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),150.0,128.0,136.5,143.0,105.0,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",BIO MEDICAL ENGINEERING,135.5,106.5,111.5,106.0,—,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",COMPUTER SCIENCE AND ENGINEERING,148.0,137.0,104.0,130.0,105.0,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",ELECTRONICS AND COMMUNICATION ENGINEERING,142.5,123.0,127.5,113.0,116.5,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",INFORMATION TECHNOLOGY,132.5,118.5,112.5,121.5,93.0,—,—
11,1207,"Kings Engineering College (Autonomous), Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",MECHANICAL ENGINEERING,115.0,95.0,110.5,85.5*,107.5*,—,—
