Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
41,2717,"Sasurie College of Engineering, Vijayamangalam, Tirupur District-638056.",MECHANICAL ENGINEERING,90.0,—,—,80.0*,—,—,—
41,2717,"Sasurie College of Engineering, Vijayamangalam, Tirupur District-638056.",Computer Science and Engineering (Cyber Security),107.5,88.5*,—,90.0*,91.0*,—,—
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",Artificial Intelligence and Data Science,188.5,185.5,181.0,182.5,154.5,144.0,145.5
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),190.5,188.5,183.5,184.0,167.0,165.5,—
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",COMPUTER SCIENCE AND BUSSINESS SYSTEM,187.0,185.0,182.0,181.5,156.5,145.5,—
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",CIVIL ENGINEERING,176.5,171.5,174.0,167.5,145.0,133.5,—
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",Computer Science and Engineering (Internet of Things),186.0,184.5,181.0,180.5,157.0,—,—
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",M.Tech. Computer Science and Engineering (Integrated 5 years),187.0,184.5,180.0,180.5,152.5,142.5,169.5
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",COMPUTER SCIENCE AND ENGINEERING,192.0,189.5,189.0,186.5,161.5,149.5,164.0
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",ELECTRONICS AND COMMUNICATION ENGINEERING,190.5,187.0,184.5,183.0,159.5,152.5,152.5
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",ELECTRICAL AND ELECTRONICS ENGINEERING,185.5,183.0,178.0,178.5,151.0,145.5,146.5
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",INFORMATION TECHNOLOGY,188.5,185.5,181.5,183.0,153.5,146.0,143.5
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",MECHANICAL ENGINEERING,179.0,175.5,173.5,170.3,138.0,128.5,146.5
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",Mechatronics Engineering,182.0,179.0,176.5,175.0,139.5,132.5,—
41,2718,"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.",Computer Science and Engineering (Cyber Security),188.5,185.0,185.5,182.0,160.0,145.5,137.0
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",Artificial Intelligence and Data Science,186.0,182.5,180.0,181.5,157.0,173.0,—
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",AERONAUTICAL ENGINEERING,175.5,169.0,—,167.0,131.5,—,—
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",BIO MEDICAL ENGINEERING,175.5,167.5,158.0,167.0,129.0,119.5,—
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",CIVIL ENGINEERING,169.0,164.5,161.5,158.5,134.5,136.0,141.5
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",M.Tech. Computer Science and Engineering (Integrated 5 years),181.5,179.0,176.5,175.0,147.0,159.5,134.0
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",COMPUTER SCIENCE AND ENGINEERING,187.0,183.5,183.0,180.5,152.5,160.0,161.5
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",ELECTRONICS AND COMMUNICATION ENGINEERING,185.5,182.0,177.0,178.0,151.0,142.0,—
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",ELECTRICAL AND ELECTRONICS ENGINEERING,182.0,179.0,177.0,177.0,145.0,135.5,152.0
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",ELECTRONICS AND INSTRUMENTATION ENGINEERING,179.0,178.0,176.5,169.5,135.5,135.0,—
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",INFORMATION TECHNOLOGY,185.0,182.0,178.5,179.0,150.5,151.0,140.5
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",MECHANICAL ENGINEERING,175.0,170.5,169.5,162.0,130.5,117.0,—
41,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.",ROBOTICS AND AUTOMATION,179.0,176.5,162.5,172.0,135.0,133.5,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",Artificial Intelligence and Data Science,150.5,135.0,122.0,112.0,113.0*,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",AUTOMOBILE ENGINEERING,130.5,114.0*,—,93.0*,—,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",CIVIL ENGINEERING,123.5,111.5*,—,107.5*,116.5,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",COMPUTER SCIENCE AND ENGINEERING,152.0,128.0,105.5,126.5,78.0*,97.0,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",ELECTRONICS AND COMMUNICATION ENGINEERING,140.5,113.0,—,110.0,110.0*,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",ELECTRICAL AND ELECTRONICS ENGINEERING,131.0,89.5,—,94.0*,—,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",INSTRUMENTATION AND CONTROL ENGINEERING,113.0,99.0*,—,—,98.5*,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",INFORMATION TECHNOLOGY,143.5,125.5,—,122.5,114.0*,—,—
41,2721,"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.",MECHANICAL ENGINEERING,115.0,83.5,—,—,105.5*,—,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",Artificial Intelligence and Data Science,168.5,159.5,147.5,153.0,102.0*,84.0,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),164.0,159.0,147.5,149.5,147.0*,129.5,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",BIO MEDICAL ENGINEERING,151.0,140.0,112.0,136.0,113.0,139.0,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",CIVIL ENGINEERING,151.0,140.0,—,139.5,100.5,101.5,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",COMPUTER SCIENCE AND ENGINEERING,174.5,164.5,167.0,156.0,109.0*,123.0,145.5*
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",ELECTRONICS AND COMMUNICATION ENGINEERING,166.5,158.5,152.5,149.5,94.0*,149.0,158.5
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",ELECTRICAL AND ELECTRONICS ENGINEERING,156.0,151.5,142.5,144.5,106.0*,132.0,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",INFORMATION TECHNOLOGY,166.0,160.0,151.0,149.5,112.0*,116.0*,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",MEDICAL ELECTRONICS ENGINEERING,147.0,140.5,126.5*,123.5,121.0,142.5,—
41,2723,"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.",MECHANICAL ENGINEERING,149.5,137.0,111.5,124.5,91.0*,110.0,—
41,2725,"Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam, Perur Chettipalayam, Coimbatore-641010.",Artificial Intelligence and Data Science,177.0,171.0,175.0,166.0,137.5,139.5,—
41,2725,"Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam, Perur Chettipalayam, Coimbatore-641010.",COMPUTER SCIENCE AND ENGINEERING,176.5,172.0,171.5,167.5,129.5,125.0,143.0
