Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
21,1420,"Tagore Engineering College, Rathinamangalam, Vandalur, Kanchipuram, Chennai-600127.",MECHANICAL ENGINEERING,118.5,110.5*,—,81.5*,—,—,—
21,1420,"Tagore Engineering College, Rathinamangalam, Vandalur, Kanchipuram, Chennai-600127.",Computer Science and Engineering (Cyber Security),149.5,134.0,147.5,137.0,123.5,—,—
21,1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.",CIVIL ENGINEERING,101.5,—,—,—,90.5*,—,—
21,1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.",COMPUTER SCIENCE AND ENGINEERING,147.5,101.0*,118.5,138.0,118.0,105.0*,—
21,1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.",ELECTRONICS AND COMMUNICATION ENGINEERING,133.0,94.0*,119.0,120.5,114.0,—,—
21,1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.",ELECTRICAL AND ELECTRONICS ENGINEERING,118.0,88.5*,101.0*,84.0*,106.0,—,—
21,1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.",INFORMATION TECHNOLOGY,135.0,98.5*,116.0,122.0,118.0,131.5*,—
21,1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.",MECHANICAL ENGINEERING,117.5,105.5*,—,101.0*,89.0,—,—
21,1422,"SRM Valliammai Engineering College (Autonomous), S.R.M. Nagar, Kattankulathur, Chengalpattu, Kancheepuram, Chennai-603203.",Artificial Intelligence and Data Science,183.5,179.0,178.0,176.5,158.0,169.5,—
21,1422,"SRM Valliammai Engineering College (Autonomous), S.R.M. Nagar, Kattankulathur, Chengalpattu, Kancheepuram, Chennai-603203.",AGRICULTURAL ENGINEERING,146.0,119.0,105.0,119.5,117.5*,—,—
